100
0,6,10,6,12,8,9,11,6,10,14,9,8,9,8,14,10,7,7,12,6,10,7,12,6,8,9,6,6,7,8,9,10,7,17,6,10,6,6,6,9,6,7,6,7,7,8,9,10,7,10,10,8,7,8,8,17,8,7,12,7,6,7,9,7,14,9,13,9,9,11,9,6,9,7,6,12,14,9,6,7,6,7,8,11,7,7,10,7,10,9,12,16,6,8,13,6,10,9,8
6,0,11,10,6,6,12,7,6,7,8,12,10,14,6,6,6,11,6,5,8,9,9,7,17,10,7,6,8,23,6,8,8,11,10,6,10,7,7,12,10,6,6,16,8,7,6,6,8,11,21,7,14,11,6,6,6,14,6,8,14,12,9,7,6,7,10,9,8,6,18,9,14,7,9,6,9,7,8,6,14,9,6,8,7,6,11,8,6,7,6,8,7,8,6,9,16,8,19,14
10,11,0,8,12,6,7,10,5,9,11,9,12,6,9,6,8,6,12,10,10,10,10,9,13,6,11,9,6,9,12,6,5,9,10,9,7,13,6,14,6,7,12,12,8,7,9,12,29,7,7,16,9,9,7,9,5,7,9,7,8,14,12,9,7,13,7,6,8,10,6,12,10,11,12,9,11,7,6,7,6,12,9,10,6,9,6,10,6,11,11,7,6,7,11,6,8,43,9,11
6,10,8,0,11,10,10,16,11,6,19,6,7,13,6,7,10,8,8,6,8,19,12,13,16,6,11,8,9,9,10,6,10,17,6,7,9,10,6,6,6,6,8,27,12,7,8,6,8,7,6,6,8,17,10,10,19,6,7,13,14,6,10,7,7,7,7,10,11,6,9,10,6,9,6,7,6,6,18,8,11,10,9,9,16,8,11,7,7,7,10,9,11,8,5,10,41,8,17,11
12,6,12,11,0,8,7,10,9,10,9,7,7,11,5,13,15,6,8,7,7,10,8,8,5,7,9,7,5,20,9,10,6,6,5,9,6,7,6,19,6,6,8,10,13,7,9,13,10,7,7,5,9,6,6,13,6,7,8,12,12,19,9,6,15,7,6,7,17,9,10,7,7,10,34,7,7,10,7,7,11,9,9,7,10,7,6,16,15,7,8,7,9,6,7,7,11,12,6,11
8,6,6,10,8,0,17,7,11,6,17,9,12,9,5,10,46,6,9,10,8,8,6,19,6,12,6,7,10,12,12,10,9,6,6,7,6,10,10,7,9,6,9,7,6,7,10,7,11,9,9,10,10,6,7,12,9,18,9,6,6,7,12,7,8,14,9,8,6,10,7,5,10,6,10,7,9,10,9,10,9,10,8,6,7,5,10,36,9,9,6,9,10,8,11,8,10,11,6,7
9,12,7,10,7,17,0,16,15,19,9,12,11,6,10,12,8,10,11,7,7,29,7,11,7,11,7,16,6,9,6,7,11,7,5,9,6,10,9,10,7,6,6,9,6,6,8,9,12,11,10,16,8,7,7,7,10,6,19,8,7,10,6,6,6,10,7,9,8,6,16,11,9,9,7,6,21,9,14,6,9,5,6,6,16,20,10,8,7,11,7,6,9,7,8,9,13,12,10,8
11,7,10,16,10,7,16,0,8,13,11,11,7,10,10,7,6,7,9,6,6,10,10,6,7,8,10,10,11,11,11,6,6,6,7,9,11,22,11,6,6,8,9,8,5,9,13,9,10,9,6,7,13,6,14,7,6,7,6,7,7,6,11,9,9,17,6,9,9,6,55,9,6,7,7,5,6,8,7,8,6,9,10,6,66,12,7,6,6,6,11,7,8,5,6,9,16,10,6,9
6,6,5,11,9,11,15,8,0,7,13,6,6,6,7,7,6,14,10,6,10,8,7,9,8,6,6,11,9,7,9,10,6,5,6,9,6,8,7,7,5,7,17,11,6,8,8,11,6,8,10,12,8,5,10,9,10,7,14,9,6,6,6,10,9,33,9,10,10,6,7,10,16,6,6,9,9,7,8,8,6,10,9,13,8,8,16,6,21,6,9,6,10,10,9,7,10,6,5,10
10,7,9,6,10,6,19,13,7,0,13,14,12,10,6,7,6,6,6,8,11,11,7,9,6,12,6,5,5,7,7,12,5,6,11,10,5,7,6,11,10,7,6,17,8,22,9,6,10,22,12,11,9,6,6,10,10,9,6,6,9,9,7,10,8,11,7,6,8,8,13,12,11,8,6,10,10,9,10,10,10,10,5,9,13,6,5,6,13,9,6,6,5,6,8,6,9,10,10,14
14,8,11,19,9,17,9,11,13,13,0,13,8,8,8,9,17,6,9,8,6,17,10,9,6,8,8,6,7,10,11,5,7,6,13,6,11,10,7,16,6,7,7,6,10,14,6,8,11,14,8,11,6,6,6,7,10,8,6,8,9,16,6,9,5,12,14,17,11,8,9,9,6,8,9,8,6,10,8,8,9,6,9,30,10,14,6,17,6,9,8,10,6,7,7,17,12,11,7,9
9,12,9,6,7,9,12,11,6,14,13,0,10,13,9,15,8,6,7,10,6,8,11,6,6,7,8,13,6,17,7,6,13,6,11,6,8,9,7,8,17,8,7,7,7,10,12,9,5,10,8,7,6,6,12,7,6,7,6,9,6,7,7,7,6,9,13,7,6,9,11,8,8,7,6,8,13,9,12,12,7,15,11,9,11,13,6,8,5,10,6,9,6,6,7,6,10,6,12,6
8,10,12,7,7,12,11,7,6,12,8,10,0,6,7,10,6,7,10,6,15,7,9,8,11,58,6,6,8,11,8,7,7,13,7,15,7,7,12,9,6,5,10,6,7,7,7,14,10,7,6,7,7,13,7,11,7,6,6,14,7,9,5,8,6,10,5,14,10,6,7,9,9,6,7,15,13,9,6,7,10,6,6,8,7,11,9,9,8,7,6,14,9,9,6,14,8,10,12,19
