50
0,7,8,10,7,7,11,6,7,7,6,16,10,7,5,6,8,6,8,9,5,6,11,6,6,13,32,5,7,7,6,7,6,6,7,7,6,7,6,7,6,6,5,64,6,5,8,7,6,7
7,0,10,6,8,6,9,6,10,6,8,8,6,6,48,29,15,10,15,7,50,8,9,8,8,5,10,50,6,10,6,8,15,9,6,12,10,6,8,19,13,11,9,7,10,10,9,8,10,8
8,10,0,8,14,6,7,8,10,7,6,8,7,10,17,20,7,6,13,9,17,6,7,6,12,8,6,17,8,7,12,6,8,9,7,14,6,8,12,13,16,23,8,8,6,10,7,8,9,14
10,6,8,0,6,5,5,6,5,32,7,8,5,8,5,9,6,17,6,5,9,8,8,5,8,22,7,9,10,5,6,5,6,7,7,8,14,10,12,6,8,6,6,12,8,7,19,8,8,5
7,8,14,6,0,7,10,6,7,6,8,7,8,12,19,9,10,11,12,13,19,8,9,8,7,7,6,19,10,9,10,9,12,15,8,10,10,10,9,6,8,8,9,6,13,12,7,6,7,10
7,6,6,5,7,0,19,9,63,7,9,6,5,17,9,9,6,5,12,9,7,7,8,7,9,6,13,7,6,12,9,7,12,6,11,9,9,6,10,15,8,9,8,8,6,14,6,9,5,8
11,9,7,5,10,19,0,8,19,11,10,6,7,11,20,6,7,17,9,8,20,13,25,13,6,16,9,20,8,11,16,13,9,7,5,10,9,8,12,8,10,7,6,11,23,7,7,10,6,7
6,6,8,6,6,9,8,0,8,6,12,8,6,6,7,8,10,10,7,6,7,9,8,9,11,6,6,7,7,8,11,9,7,6,12,9,9,7,10,14,8,10,14,9,7,6,6,13,11,12
7,10,10,5,7,63,19,8,0,7,9,6,6,17,9,6,6,5,12,9,7,7,8,7,7,6,11,7,9,12,10,7,12,6,11,9,9,9,10,15,8,10,7,8,6,14,6,10,7,8
7,6,7,32,6,7,11,6,7,0,6,8,6,7,8,9,6,6,10,5,9,15,6,15,6,8,10,9,7,6,10,15,6,7,7,6,15,15,17,6,15,9,8,7,8,7,9,7,6,8
6,8,6,7,8,9,10,12,9,6,0,9,8,13,6,15,12,9,15,11,6,15,8,8,9,8,13,6,8,7,20,8,15,9,19,13,13,8,6,13,15,6,6,6,12,16,9,6,9,6
16,8,8,8,7,6,6,8,6,8,9,0,9,6,6,7,10,6,15,6,6,13,8,13,7,9,11,6,7,12,6,13,9,11,8,8,11,7,10,7,5,7,9,5,36,10,7,5,7,6
10,6,7,5,8,5,7,6,6,6,8,9,0,9,8,6,7,16,20,6,8,19,11,19,8,7,10,8,10,9,10,19,12,9,8,12,7,10,6,7,14,9,12,10,19,19,6,12,8,6
7,6,10,8,12,17,11,6,17,7,13,6,9,0,6,11,9,6,9,10,6,13,11,14,9,6,6,6,7,31,10,14,8,6,6,10,6,7,12,7,11,10,5,7,6,26,7,7,9,6
5,48,17,5,19,9,20,7,9,8,6,6,8,6,0,14,6,7,8,25,64,10,8,10,20,5,9,64,10,13,11,10,8,6,7,13,6,10,6,23,7,17,6,5,5,8,9,8,20,10
