27
0,6,8,16,70,6,5,6,70,6,14,7,14,70,6,7,6,12,8,12,6,6,8,10,9,6,6
6,0,6,7,6,5,6,5,6,5,8,5,5,6,5,9,6,5,10,10,8,5,8,8,6,5,10
8,6,0,10,8,5,67,5,8,6,12,5,6,8,10,7,6,6,6,28,12,5,11,6,47,5,6
16,7,10,0,16,40,10,5,16,5,6,17,5,16,19,16,12,8,6,10,6,22,15,7,10,10,6
70,6,8,16,0,6,5,6,70,6,14,7,14,70,6,7,6,12,8,12,6,6,8,10,9,6,6
6,5,5,40,6,0,6,5,6,9,8,47,8,6,9,7,12,9,6,10,8,52,10,7,10,10,6
5,6,67,10,5,6,0,5,5,5,12,5,6,5,10,7,6,6,6,31,12,5,6,6,50,5,6
6,5,5,5,6,5,5,0,6,7,6,5,6,6,7,6,8,7,6,6,6,5,6,6,5,8,6
70,6,8,16,70,6,5,6,0,6,14,7,14,70,6,7,6,12,8,12,6,6,8,10,9,6,6
6,5,6,5,6,9,5,7,6,0,6,9,6,6,53,10,10,7,6,14,7,9,6,19,8,10,6
14,8,12,6,14,8,12,6,14,6,0,8,40,14,6,6,6,6,7,6,54,8,6,6,12,10,7
7,5,5,17,7,47,5,5,7,9,8,0,8,7,9,7,9,7,6,6,8,64,10,7,5,10,6
14,5,6,5,14,8,6,6,14,6,40,8,0,14,6,5,9,6,7,6,24,6,6,6,6,10,7
70,6,8,16,70,6,5,6,70,6,14,7,14,0,6,7,6,12,8,12,6,6,8,10,9,6,6
6,5,10,19,6,9,10,7,6,53,6,9,6,6,0,10,10,7,6,14,7,9,7,19,8,10,6
7,9,7,16,7,7,7,6,7,10,6,7,5,7,10,0,9,7,17,10,6,7,6,7,10,9,17
6,6,6,12,6,12,6,8,6,10,6,9,9,6,10,9,0,10,6,9,9,9,10,7,9,23,6
12,5,6,8,12,9,6,7,12,7,6,7,6,12,7,7,10,0,8,11,6,9,8,6,5,5,6
8,10,6,6,8,6,6,6,8,6,7,6,7,8,6,17,6,8,0,7,7,8,7,13,6,6,63
12,10,28,10,12,10,31,6,12,14,6,6,6,12,14,10,9,11,7,0,6,6,8,6,50,6,7
6,8,12,6,6,8,12,6,6,7,54,8,24,6,7,6,9,6,7,6,0,8,6,5,12,12,7
6,5,5,22,6,52,5,5,6,9,8,64,6,6,9,7,9,9,8,6,8,0,10,7,8,10,8
8,8,11,15,8,10,6,6,8,6,6,10,6,8,7,6,10,8,7,8,6,10,0,5,8,6,7
10,8,6,7,10,7,6,6,10,19,6,7,6,10,19,7,7,6,13,6,5,7,5,0,6,7,13
9,6,47,10,9,10,50,5,9,8,12,5,6,9,8,10,9,5,6,50,12,8,8,6,0,6,6
6,5,5,10,6,10,5,8,6,10,10,10,10,6,10,9,23,5,6,6,12,10,6,7,6,0,6
6,10,6,6,6,6,6,6,6,6,7,6,7,6,6,17,6,6,63,7,7,8,7,13,6,6,0
